"year","total_depressed"
"1985","32479"
"1986","33852"
"1987","35006"
"1988","33015"
"1989","41361"
"1990","50118"
"1991","49622"
"1992","51567"
"1993","51331"
"1994","51532"
"1995","54504"
"1996","54583"
"1997","54126"
"1998","55631"
"1999","56215"
"2000","55254"
"2001","52999"
"2002","55549"
"2003","55627"
"2004","53232"
"2005","52035"
"2006","52039"
"2007","53324"
"2008","53973"
"2009","54920"
"2010","54222"
"2011","54616"
"2012","53011"
"2013","51459"
"2014","51556"
"2015","47248"
"2016","3504"
